timestamp,source_ip,target_ip,malware_file,malware_hash,attack_type,severity,payload_size_kb,status
2026-02-21T16:31:13.635Z,215.83.193.47,192.168.1.17,net_svc.dll,r122w25zt465w1uk7yeqt,Backdoor,High,5078,Quarantined
2026-02-23T00:12:55.675Z,66.132.145.255,192.168.1.72,web_shell.php,m6r6htqmcy21jewf0e2ps,Backdoor,Critical,3093,Quarantined
2026-02-22T22:11:56.885Z,9.32.213.188,192.168.1.21,system_listener.exe,8hc0gyuwom2u950si8e9,Backdoor,Critical,3683,Quarantined
2026-02-17T22:26:09.551Z,248.52.161.157,192.168.1.30,net_svc.dll,cjykgk9m57aar9r64tjk1c,Backdoor,Critical,2499,Quarantined
2026-02-17T03:05:19.386Z,22.228.202.52,192.168.1.92,system_listener.exe,jzfnjd2n0kxc7gi2jxp3,Backdoor,Critical,2000,Quarantined
2026-02-17T19:11:31.764Z,31.186.93.39,192.168.1.42,svchost_update.ps1,ka5u2fizhjmpf3g9rm2z5,Backdoor,Critical,882,Blocked
2026-02-20T05:18:48.881Z,245.245.173.248,192.168.1.74,system_listener.exe,aq18axlcxi4ub8gybuh38,Backdoor,High,4228,Detected
2026-02-21T13:45:36.472Z,78.208.169.39,192.168.1.31,net_svc.dll,flrm6uur985qfr8r500b7f,Backdoor,High,4585,Detected
2026-02-16T05:07:16.388Z,50.221.193.94,192.168.1.32,svchost_update.ps1,vip9slyllxa198c3fovmpq,Backdoor,Critical,4644,Detected
2026-02-20T17:01:47.920Z,14.248.172.12,192.168.1.69,svchost_update.ps1,f3hmsyqf85ddcitoj07e,Backdoor,High,945,Quarantined
2026-02-16T17:00:05.524Z,183.202.19.156,192.168.1.72,system_listener.exe,whkv4pyhaea9rnwovjb5av,Backdoor,High,3505,Quarantined
2026-02-20T14:40:31.846Z,151.247.163.137,192.168.1.106,svchost_update.ps1,ix55c8n7gei73xuv1qn05e,Backdoor,Critical,3816,Detected
2026-02-20T10:32:00.759Z,29.190.116.181,192.168.1.89,svchost_update.ps1,4su48euvp7g7druw9tbfc4,Backdoor,High,1266,Executed
2026-02-22T09:43:33.125Z,4.70.151.255,192.168.1.61,web_shell.php,7auw9bhd60idaugxnrs69,Backdoor,Critical,1979,Blocked
2026-02-16T10:58:55.054Z,155.82.245.7,192.168.1.89,web_shell.php,awlo34d5ednf9iql0vtmh7,Backdoor,High,1692,Blocked
2026-02-17T13:23:32.055Z,250.16.17.233,192.168.1.22,svchost_update.ps1,vm4jt5fsu48s880ne1tjc7,Backdoor,High,2453,Detected
2026-02-19T16:00:56.826Z,66.83.86.42,192.168.1.40,system_listener.exe,8xbp8cq6kr9uyg768ukqu,Backdoor,Critical,540,Blocked
2026-02-17T14:59:22.075Z,101.228.37.157,192.168.1.58,net_svc.dll,vkwt7nhjxdokaftc48hge,Backdoor,High,263,Quarantined
2026-02-16T19:38:59.801Z,197.235.37.146,192.168.1.78,web_shell.php,03h9qhlar96f279po9bl8um,Backdoor,Critical,1669,Executed
2026-02-22T16:46:18.293Z,192.207.162.37,192.168.1.31,svchost_update.ps1,9bvrmnygboq008rg97kutdra,Backdoor,Critical,1636,Detected
