timestamp,source_ip,target_ip,malware_file,malware_hash,attack_type,severity,payload_size_kb,status
2026-02-19T15:00:39.256Z,102.72.181.125,192.168.1.92,critical_update.msi,horvs04641a0zlzhytmezpr,Ransomware,High,3411,Executed
2026-02-22T11:51:55.272Z,158.163.198.246,192.168.1.105,critical_update.msi,es5u27pndgvx7ve13p8oq,Ransomware,Critical,4167,Blocked
2026-02-19T16:05:28.067Z,15.164.132.183,192.168.1.59,payment_overdue.zip.exe,vnza6olx17jjc4bp7j8mye,Ransomware,High,3347,Executed
2026-02-22T11:12:10.558Z,66.83.242.3,192.168.1.57,payment_overdue.zip.exe,uylz9cuxvd88g496z8yerb,Ransomware,High,2054,Executed
2026-02-18T23:00:03.405Z,230.111.152.45,192.168.1.43,system_patch.bat,gdxpi8nta8d9axvgsvidj,Ransomware,Critical,189,Executed
2026-02-23T00:11:40.581Z,252.215.180.122,192.168.1.49,system_patch.bat,9x7gakh31xgpxgholuabzp,Ransomware,High,3219,Executed
2026-02-20T10:18:06.620Z,140.70.186.22,192.168.1.102,payment_overdue.zip.exe,4w2112hlh6v40nukvoq1fu,Ransomware,High,1401,Blocked
2026-02-22T14:36:52.951Z,201.138.17.180,192.168.1.87,payment_overdue.zip.exe,ouuem8g44jozhmx2n2xk,Ransomware,High,1065,Detected
2026-02-20T01:54:20.270Z,144.46.71.11,192.168.1.25,payment_overdue.zip.exe,0otezyhk2n6biq8ssmntj,Ransomware,Critical,2454,Quarantined
2026-02-21T16:35:09.658Z,149.41.107.246,192.168.1.87,system_patch.bat,0krkeg8wojh13yp7r2a9y4h,Ransomware,High,973,Detected
2026-02-16T05:08:46.391Z,21.37.200.2,192.168.1.86,invoice_2024.pdf.exe,qhaaizdbzbdyv3iqpy3hmh,Ransomware,High,1566,Detected
2026-02-20T14:53:31.516Z,135.121.139.193,192.168.1.72,payment_overdue.zip.exe,wa1b68jck3szuoqkfzt5z,Ransomware,Critical,1937,Detected
2026-02-18T05:26:27.808Z,170.80.209.16,192.168.1.11,system_patch.bat,q951secz5t7kgted38wl,Ransomware,Critical,4033,Quarantined
2026-02-19T10:50:00.315Z,127.246.105.228,192.168.1.36,system_patch.bat,9lmv6x7qvdm5l72bmw1x,Ransomware,High,132,Blocked
2026-02-19T23:48:25.655Z,51.152.10.111,192.168.1.81,payment_overdue.zip.exe,kk2yc3dbbemodjnh2tukui,Ransomware,Critical,2447,Executed
2026-02-20T08:38:54.682Z,193.139.171.167,192.168.1.95,system_patch.bat,0zjolg0fyy69jz5qif6t6hk,Ransomware,High,3154,Executed
2026-02-17T12:28:46.924Z,153.144.6.199,192.168.1.81,system_patch.bat,9jhmc3hnrqumfcej8a16n,Ransomware,High,3675,Detected
2026-02-17T15:10:16.369Z,64.35.168.212,192.168.1.15,invoice_2024.pdf.exe,zs1dr6244fjf98mye9kkin,Ransomware,High,3531,Executed
2026-02-17T09:40:25.881Z,230.125.165.174,192.168.1.66,system_patch.bat,pwdgfy3jc5govoef6i3oxk,Ransomware,Critical,1237,Executed
2026-02-20T03:34:29.882Z,199.184.50.96,192.168.1.10,system_patch.bat,qojlwx9lixepk3hxjgixl,Ransomware,High,4921,Executed
