timestamp,source_ip,target_ip,malware_file,malware_hash,attack_type,severity,payload_size_kb,status
2026-02-17T05:04:20.324Z,78.212.33.71,192.168.1.83,ad_optimizer.exe,8mjg3zovv5kgmahd4tb9j,Spyware,Medium,828,Quarantined
2026-02-19T03:29:32.424Z,229.131.7.204,192.168.1.79,browser_extension.crx,82a9gkhb3cxiycgpgfcfv,Spyware,High,3258,Blocked
2026-02-16T23:19:44.758Z,14.221.145.38,192.168.1.20,ad_optimizer.exe,acksnhcivuacg9sy4mxkx8,Spyware,Medium,2561,Blocked
2026-02-16T12:43:55.525Z,203.1.198.201,192.168.1.33,search_helper.dll,tyd5yp9wxeg7hg6cceqy4m,Spyware,Medium,4599,Detected
2026-02-22T13:52:49.005Z,14.252.219.89,192.168.1.53,ad_optimizer.exe,t473r6zg2k89qlen2jkd6,Spyware,Medium,717,Detected
2026-02-19T18:29:27.663Z,5.115.186.92,192.168.1.48,ad_optimizer.exe,ldta6ekqghnqa45ew11c2,Spyware,High,3268,Executed
2026-02-22T07:21:31.777Z,119.25.177.137,192.168.1.71,ad_optimizer.exe,b5zhqi34nwrrvvxsph3j9e,Spyware,Medium,1959,Executed
2026-02-17T08:35:47.191Z,248.118.59.14,192.168.1.48,browser_extension.crx,rfjitj7kd84auxk6a0qnr,Spyware,High,1635,Executed
2026-02-22T23:51:11.047Z,181.212.90.222,192.168.1.20,browser_extension.crx,gjn55dijhx8j4q2x43194t,Spyware,High,4816,Quarantined
2026-02-18T13:11:47.187Z,105.58.233.148,192.168.1.13,tracking_svc.exe,t85jkzbibmldby9c6exy,Spyware,High,376,Executed
2026-02-20T07:16:18.215Z,47.82.222.235,192.168.1.65,tracking_svc.exe,vzwrxaos1c830plue045ta,Spyware,High,1093,Quarantined
2026-02-20T08:03:27.606Z,138.148.110.154,192.168.1.61,search_helper.dll,jdhfnr4leumvqwzwp2cu,Spyware,High,2623,Executed
2026-02-17T19:50:05.497Z,75.146.149.57,192.168.1.60,search_helper.dll,3hi0vdgdx8zsx9yxf8at5,Spyware,High,598,Quarantined
2026-02-22T19:55:12.863Z,246.218.45.127,192.168.1.56,ad_optimizer.exe,lde45m23ucp4b5itaou6,Spyware,Medium,1196,Detected
2026-02-21T05:44:15.574Z,178.59.118.96,192.168.1.51,browser_extension.crx,6i2c7cwtrjrc9qj6psd83j,Spyware,Medium,2241,Blocked
2026-02-17T14:57:41.278Z,145.54.187.73,192.168.1.42,ad_optimizer.exe,n7nj7sog4bld2hmvgqw9,Spyware,Medium,247,Blocked
2026-02-20T07:43:20.569Z,48.238.191.110,192.168.1.21,tracking_svc.exe,7nc184jke8f90s2gvk0a9,Spyware,High,914,Blocked
2026-02-18T01:53:54.093Z,112.227.77.181,192.168.1.33,tracking_svc.exe,isnzlnspsf1nlvsbvelcz,Spyware,Medium,3436,Detected
2026-02-22T09:09:52.739Z,100.177.68.88,192.168.1.47,ad_optimizer.exe,5td89f2a9i6c509f4c0ty,Spyware,High,3971,Quarantined
2026-02-20T20:43:40.242Z,1.220.6.197,192.168.1.96,ad_optimizer.exe,tlswlpy7uhbr4e3i50q6g,Spyware,High,3050,Quarantined
